2020-06-22 14:58:30.6592 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:58:30

2020-06-22 14:58:42.5613 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:42

2020-06-22 14:58:42.7068 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:42

2020-06-22 14:58:49.1390 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:58:49

2020-06-22 14:58:49.5485 INFO Log Information(API Server) -Try to POST Review 0(Id) - Controller : ReviewsController; Actionname: PostReview(...); HTTP method : HttpPost; Time: 22.06.2020 14:58:49


2020-06-22 14:58:50.1689 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:50

2020-06-22 14:58:50.2219 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:58:50

2020-06-22 14:59:30.0183 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 14:59:30

2020-06-22 14:59:36.7960 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:59:36

2020-06-22 14:59:36.9217 INFO (API Server) -Try to GET Review's rating for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 14:59:36

2020-06-22 15:05:15.0306 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 15:05:13

2020-06-22 15:05:15.2187 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 15:05:15

2020-06-22 15:05:23.0476 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 15:05:23

2020-06-22 15:05:49.2135 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 15:05:49

